OBJECTID,NAME,TYPE,STATUS,EASEMENT,PROPERTY_OWNER
28,Emmet Street,Shared Use Path,Proposed,In discussion,UVA/ROW
261,Coal Tower,Shared Use Path,Existing,Proffer,Red Light
264,Buford SRTS - Cherry Avenue,Soft Surface,Proposed,In discussion,City School Board
265,Buford Nature Trail,Soft Surface,Existing,Complete,City School Board
250,Buford Nature Trail,Soft Surface,Existing,Complete,City School Board
222,Buford Nature Trail,Soft Surface,Existing,Complete,City School Board
266,Greenbrier Entry Path,Shared Use Path,Existing,Complete,City
267,Greenbrier Entry Path,Shared Use Path,Existing,Complete,City
287,Rivanna River Trail,Shared Use Path,Existing,Complete,Riverview Cemetery Co.
294,Rivanna River Trail,Shared Use Path,Existing,Complete,Luck Development Partners
296,Rivanna River Trail,Shared Use Path,Existing,Complete,Luck Development Partners
298,Rivanna River Trail,Shared Use Path,Existing,Complete,Luck Development Partners
299,Rivanna River Trail,Shared Use Path,Existing,Complete,"Pennbrook Properties, LLC"
289,Rivanna River Trail,Shared Use Path,Existing,Complete,Richard and Fred Miler
674,Greenbrier School track,Shared Use Path,Existing,Complete,City School Board
675,Johnson School Loop,Shared Use Path,Existing,Complete,City School Board
609,Holiday Drive sidewalk,Shared Use Path,Existing,Complete,City ROW
361,Holiday Drive,Shared Use Path,Proposed,Complete,City ROW
362,250 Parallel,Shared Use Path,Existing,Complete,City ROW
610,250-Hydraulic connector,Shared Use Path,Proposed,Complete,City ROW
78,Meadowcreek - Hyd-250 Triangle,Shared Use Path,Proposed,In discussion,Dominion Power
552,250-Hydraulic - Holiday Drive,Shared Use Path,Proposed,In discussion,Lane Bonner / Kurt Wassenaar
614,Meadowcreek,RTF,Existing,RTF,Locust Grove HOA
380,Rivanna River,Shared Use Path,Proposed,Will Not Allow,Reilly
382,Rivanna River,Shared Use Path,Proposed,Will Not Allow,Presely
378,Rivanna River,Shared Use Path,Proposed,In discussion,Potter
384,Rivanna Rive,Shared Use Path,Proposed,Complete,City
25,Pen Park - Meadowcreek Connector,Soft Surface,Existing,Complete,City
615,Pen Park Megan Trailhead,Soft Surface,Existing,Complete,City
617,PenParkSouth,Soft Surface,Existing,Complete,City
618,Meadocreek gardens,Soft Surface,Existing,Complete,City
626,John street connector,Soft Surface,Proposed,Complete,City ROW
627,John Street connector,Soft Surface,Proposed,Complete,City ROW
629,Jordan Park,Soft Surface,Existing,Complete,City
630,Pen Park Nature Trail,Soft Surface,Existing,Complete,City
623,Pen Lower Parallel,Soft Surface,Proposed,Complete,City
435,Moores Creek,Shared Use Path,Proposed,Complete,City
390,Rivanna River,Shared Use Path,Proposed,In discussion,Jan Boctor
386,Rivanna River,Shared Use Path,Proposed,In discussion,Crosby
376,Rivanna River,Shared Use Path,Proposed,Will Not Allow,Suter
24,Pen Park Path,Shared Use Path,Proposed,Complete,City
635,Pen Park Path,Shared Use Path,Proposed,Complete,City
274,Rivanna River Trail,Shared Use Path,Existing,Complete,Southern Ventures
276,Rivanna River Trail,Shared Use Path,Existing,Complete,Donald Robertson
279,Rivanna River Trail,Shared Use Path,Existing,Complete,KIMCO
281,Rivanna River Trail,Shared Use Path,Existing,Complete,KIMCO
282,Rivanna River Trail,Shared Use Path,Existing,Complete,Susan McKinnon
284,Rivanna River Trail,Shared Use Path,Existing,Complete,Kay Slaughter
286,Rivanna River Trail,Shared Use Path,Existing,Complete,Nicholas Smith & Julie McClymonds
292,Rivanna River Trail,Shared Use Path,Existing,Complete,Grant and Barbara Cosner
304,Moores Creek,Shared Use Path,Proposed,No easement,James and Ida Brown
305,Moores Creek,Shared Use Path,Proposed,No easement,Micheal Irani
306,Moores Creek,Shared Use Path,Proposed,No easement,CHR Properties #2 LLC
308,Moores Creek,Shared Use Path,Proposed,No easement,Betty D. Abbott Trustee
310,Moores Creek,Shared Use Path,Proposed,No easement,Christina Barber
312,Moores Creek,Shared Use Path,Proposed,No easement,Betty Shepard
314,Moores Creek,Shared Use Path,Proposed,No easement,Laurie & David McDade
316,Moores Creek,Shared Use Path,Proposed,No easement,Wilmon & Shirley Calk
318,Moores Creek,Shared Use Path,Proposed,No easement,George & Frances Meadors
348,Moores Creek,Soft Surface,Existing,Complete,Eagles Landing
355,Moores Creek,Shared Use Path,Proposed,Complete,Burgerbusters
357,Moores Creek,Shared Use Path,Proposed,Complete,Waffle House
359,Moores Creek,Shared Use Path,Proposed,Complete,Burgerbusters
360,Moores Creek,Shared Use Path,Proposed,Complete,Tiger Fuel
87,Pen Nature Trail Spur,Soft Surface,Existing,Complete,City
86,Pen Nature Trail Spur,Soft Surface,Existing,Complete,City
71,Pen Fitness Trail,Shared Use Path,Existing,Complete,City
85,Pen Nature Trail,Soft Surface,Existing,Complete,City
202,Pen Park Nature Trail,Soft Surface,Existing,Complete,City
203,Pen Park Playground Path,Shared Use Path,Existing,Complete,City
204,Pen Park Tennis Path,Shared Use Path,Existing,Complete,City
523,Moores Creek,Shared Use Path,Proposed,No easement,Elizabeth Wilson
529,Johnson School Entry Path,Shared Use Path,Existing,Complete,City School Board
536,Johnson School connector,Shared Use Path,Existing,Complete,City School Board
537,Johnson School connector,Soft Surface,Existing,Complete,City School Board
538,Johnson School connector,Soft Surface,Existing,Complete,City School Board
539,Johnson School connector,Soft Surface,Existing,Complete,City School Board
540,Johnson School connector,Soft Surface,Existing,Complete,City School Board
541,Burnley-Moran School connector,Shared Use Path,Existing,Complete,City School Board
1,Greenbrier School Entry Path,Soft Surface,Existing,Complete,City School Board
542,Greenbrier School Nature Trail,Soft Surface,Existing,Complete,City School Board
72,Antoinette Trail,Shared Use Path,Existing,Complete,City ROW
73,Forest Hills  - Orangedale,Shared Use Path,Existing,Complete,City ROW
69,Pen Nature Trail,Soft Surface,Existing,Complete,City
56,Rail Trail Carlton,Shared Use Path,Proposed,No easement,Railroad
430,Moores Creek,Shared Use Path,Proposed,No easement,Carl & Louise Belew
432,Moores Creek,Shared Use Path,Proposed,No easement,Lee Clark Associates
436,Moores Creek,Shared Use Path,Proposed,Complete,City of Charlottesville
439,Moores Creek,Shared Use Path,Proposed,Complete,City
440,Moores Creek,Shared Use Path,Proposed,No easement,Donnie McDaniel
442,Moores Creek,Shared Use Path,Proposed,No easement,Donnie McDaniel
444,Moores Creek,Shared Use Path,Proposed,No easement,Riley & Genevieve Bellomy
445,Moores Creek,Shared Use Path,Proposed,No easement,Wayne and Janet Shifflett
13,250 Parallel,Shared Use Path,Proposed,Complete,City
17,CHS McI Connector,Soft Surface,Proposed,Complete,City School Board
391,Pen Fitness Trail,Shared Use Path,Existing,Complete,City
559,McIntire Park Nature Trail,Soft Surface,Existing,Complete,City
574,McIntire Park Nature Trail,Soft Surface,Existing,Complete,City
573,McIntire Park Nature Trail,Soft Surface,Existing,Complete,City
572,McIntire Park Nature Trail,Soft Surface,Existing,Complete,City
568,CHS Baseball Loop,Soft Surface,Existing,Complete,City
576,Rock Creek PUD connector,Soft Surface,Proposed,In discussion,Lane Bonner - Kurt Wassenaar
353,Moores Creek,Shared Use Path,Proposed,Complete,5th Street Station
351,Moores Creek,Shared Use Path,Proposed,Complete,Morris Creek Yacht Club
582,Schenks Crosswalk,Shared Use Path,Existing,Complete,City
590,Greenleaf connector,Soft Surface,Proposed,Complete,City
594,Riverview No Mow,Soft Surface,Existing,Complete,City
593,Riverview No Mow,Soft Surface,Existing,Complete,City
595,Riverview Overlook,Shared Use Path,Proposed,Complete,City
583,Greenleaf Loop,Soft Surface,Proposed,Complete,City
600,Meadowcreek Trail,Shared Use Path,Proposed,Complete,Chevy Chase Bank
601,Meadowcreek Trail,Shared Use Path,Proposed,No easement,GAD LLC
602,Meadowcreek Trail,Shared Use Path,Proposed,In discussion,GAD LLC
603,Meadowcreek Trail,Shared Use Path,Proposed,No easement,Adonai Degel PropertiesLLC
604,Meadowcreek Trail,Shared Use Path,Proposed,No easement,"Trem Commerical Rentals, LLC"
605,Meadowcreek Trail,Shared Use Path,Proposed,No easement,Ly & Yu
606,Meadowcreek Trail,Shared Use Path,Proposed,Complete,"CPD Properties, LLC"
607,Meadowcreek Trail,Shared Use Path,Proposed,Complete,"Charter Foods, Inc."
534,Meadowcreek,Shared Use Path,Proposed,Complete,City
571,McIntire Park Nature Trail,Soft Surface,Existing,Complete,City
527,Azalea Entry West,Shared Use Path,Existing,Complete,City
522,Moores Creek,Shared Use Path,Proposed,In discussion,Burr/Carrsgrove
637,Moore's Creek - Carrsgrove,Shared Use Path,Proposed,In discussion,Carrsgrove
290,Rivanna River Trail,Shared Use Path,Existing,Complete,VFW
638,Monte Vista - Azalea Park spur,Shared Use Path,Existing,Complete,Murphy and Boykin
647,6th Street ROW,Soft Surface,Existing,Complete,City ROW
393,Moores Creek,Shared Use Path,Existing,Complete,Mountain View Trailer Park
650,Oakwood Cemetery - middle,Shared Use Path,Existing,Complete,City
658,Meadowcreek,Shared Use Path,Proposed,Complete,City
27,Meadowcreek,Shared Use Path,Proposed,In discussion,Frank Stoner
659,Meadowcreek,Shared Use Path,Proposed,Complete,City
660,Moore's Creek,Soft Surface,Existing,Complete,Nancy Essig
661,Johnson School Loop,Shared Use Path,Existing,Complete,City School Board
662,Johnson School Link,Shared Use Path,Existing,Complete,City School Board
21,Schenks Greenway,Shared Use Path,Existing,Complete,City
343,Moores Creek,Soft Surface,Existing,Complete,Jason Halbert
341,Moores Creek,Soft Surface,Proposed,In discussion,Eric Von Geilker
339,Moores Creek,Soft Surface,Proposed,Complete,City ROW
337,Moores Creek,Soft Surface,Proposed,In discussion,Hancock
330,Moores Creek,Soft Surface,Proposed,In discussion,Gaston Fornes
334,Moores Creek,Soft Surface,Existing,Assessor,Davis
663,Meadowcreek,Soft Surface,Proposed,Assessor,Eure Communications
678,Moores Creek,Shared Use Path,Proposed,In discussion,Arthur Keyser
680,McIntire Park Connector,Soft Surface,Proposed,In discussion,Burruss Apartments
322,Moores Creek,Shared Use Path,Proposed,Complete,City
324,Moores Creek,Shared Use Path,Proposed,Complete,City School Board
325,Moores Creek,Shared Use Path,Proposed,In discussion,BMW Co. LLC
79,Meadowcreek,Soft Surface,Existing,Complete,City
681,Meadowcreek,Shared Use Path,Proposed,Complete,City
611,Meadowcreek,Shared Use Path,Proposed,Complete,Brandywine Apts. HOA
599,Meadowcreek Trail,Shared Use Path,Proposed,Complete,City
84,Greenleaf Nature Trail,Soft Surface,Existing,Complete,City Parks
688,Moores Creek,Shared Use Path,Proposed,Complete,City
656,Meadowcreek,Shared Use Path,Proposed,Complete,T.E. Wood
657,Meadowcreek,Shared Use Path,Proposed,Complete,Locust Meadows Land Trust
652,Meadowcreek,Soft Surface,Existing,Complete,Wildwood HOA
713,Meadowcreek,Soft Surface,Existing,Complete,Wildwood HOA
716,Lynch Roofing Connector,Shared Use Path,Proposed,In discussion,Lynch
244,Moores Creek,Shared Use Path,Proposed,Complete,City
719,Quarry Park internal,Soft Surface,Existing,Complete,City Parks
720,Riverview Park,Shared Use Path,Existing,Complete,City Parks
727,Riverview 1/4 mile,Soft Surface,Existing,Complete,City Parks
728,Riverview 1/2 mile,Soft Surface,Existing,Complete,City Parks
336,Moores Creek,Soft Surface,Proposed,In discussion,Hall
735,Riverview Loop Completer,Shared Use Path,Proposed,Complete,City
738,Coal Tower,Shared Use Path,Existing,Complete,City
260,Coal Tower,Shared Use Path,Proposed,Complete,City
739,Hardees 5th Street,Shared Use Path,Proposed,In discussion,BNE Restaurant Group LLC
740,MCI 5th Street,Shared Use Path,Proposed,Complete,City
741,MCI 5th St Connector,Soft Surface,Proposed,In discussion,MCI
580,Starr Hill Park,Shared Use Path,Proposed,Complete,City
746,Forest Hills Park,Shared Use Path,Existing,Complete,City
692,Willoughby Place,Shared Use Path,Proposed,In discussion,Moore's Creek LLC
691,Moores Creek Willoughby,Shared Use Path,Proposed,In discussion,WPOA
748,Carlton Bridge,Shared Use Path,Proposed,In discussion,Barry Keyes
259,Moores Creek,Shared Use Path,Proposed,In discussion,Art Kiser
759,Jackson Via Commuter trail,Soft Surface,Existing,Complete,City
760,Jackson Via Nature trail,Soft Surface,Existing,Complete,City
761,Jackson Via Nature trail,Soft Surface,Existing,Complete,City
762,Jackson Via Nature trail,Soft Surface,Existing,Complete,City
763,Jackson Via Nature trail,Soft Surface,Existing,Complete,City
764,Jackson Via Nature trail,Soft Surface,Existing,Complete,City
765,Jackson Via Nature Trail,Soft Surface,Existing,Complete,City
321,Jackson Via Nature Trail,Soft Surface,Existing,Complete,City
254,Moores Creek,Shared Use Path,Proposed,Survey,Phil Delany - Charlottesville Oil
766,Moores Creek,Shared Use Path,Proposed,Complete,VDOT
689,Moores Creek,Shared Use Path,Proposed,Assessor,Barry Kayes
690,Moores Creek,Shared Use Path,Proposed,Complete,VDOT
597,Riverview South,Soft Surface,Existing,Complete,City
693,250 Parallel,Shared Use Path,Proposed,Complete,VDOT
931,250 Parallel,Shared Use Path,Proposed,Survey,Susan Hart Reid
930,250 Parallel,Shared Use Path,Proposed,Complete,City ROW
694,Meade Avenue,Shared Use Path,Existing,Complete,City
695,Meade Avenue,Shared Use Path,Existing,Complete,City
684,Meade Avenue,Shared Use Path,Existing,Complete,City
214,Meade Park Path,Shared Use Path,Existing,Complete,City
218,Greenleaf Trike Loop,Shared Use Path,Proposed,Complete,City
704,Northeast Park,Soft Surface,Existing,Complete,City
58,Rail Trail West Main,Shared Use Path,Proposed,No easement,Railroad
60,Rail Trail - Union Station,Shared Use Path,Proposed,No easement,Railroad
61,Rail Trail JPA,Shared Use Path,Proposed,No easement,Railroad
62,Rail Trail South,Shared Use Path,Proposed,No easement,Railroad
70,Pen Fitness Trail,Shared Use Path,Existing,Complete,City
97,Jordan Park Path,Shared Use Path,Existing,Complete,City
105,Greenbrier Entry Path,Shared Use Path,Existing,Complete,City
108,Rivanna Trail,Shared Use Path,Existing,Complete,City
231,Rock Creek,Shared Use Path,Proposed,In discussion,Willoughby HOA
245,Northeast Park Trail,Shared Use Path,Existing,Complete,City
246,Northeast Park Bridge,Shared Use Path,Existing,Complete,City
59,Rail Trail Water Street,Shared Use Path,Proposed,No easement,Railroad
249,Buford SRTS - Forest Hills,Soft Surface,Proposed,Complete,City
